symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2020-08-12 00:00:00+00:00,1507.24,1511.67,1485.0,1487.1245,1126560,75.362,75.5835,74.25,74.356225,22531200,0.0,1.0
GOOGL,2020-08-13 00:00:00+00:00,1516.65,1536.9744,1508.21,1508.21,1119711,75.8325,76.84872,75.4105,75.4105,22394220,0.0,1.0
GOOGL,2020-08-14 00:00:00+00:00,1504.63,1519.785,1499.0,1513.61,1097059,75.2315,75.98925,74.95,75.6805,21941180,0.0,1.0
GOOGL,2020-08-17 00:00:00+00:00,1516.24,1523.78,1505.0,1515.97,998010,75.812,76.189,75.25,75.7985,19960200,0.0,1.0
GOOGL,2020-08-18 00:00:00+00:00,1555.78,1557.37,1521.665,1526.12,1418850,77.789,77.8685,76.08325,76.306,28377000,0.0,1.0
GOOGL,2020-08-19 00:00:00+00:00,1544.61,1568.86,1540.0,1552.49,1523592,77.2305,78.443,77.0,77.6245,30471840,0.0,1.0
GOOGL,2020-08-20 00:00:00+00:00,1576.25,1580.17,1534.46,1539.97,1319131,78.8125,79.0085,76.723,76.9985,26382620,0.0,1.0
GOOGL,2020-08-21 00:00:00+00:00,1575.57,1591.88,1562.31,1571.8,1742275,78.7785,79.594,78.1155,78.59,34845500,0.0,1.0
GOOGL,2020-08-24 00:00:00+00:00,1585.15,1608.78,1575.04,1592.47,1281893,79.2575,80.439,78.752,79.6235,25637860,0.0,1.0
GOOGL,2020-08-25 00:00:00+00:00,1605.85,1608.88,1577.88,1580.1,1257463,80.2925,80.444,78.894,79.005,25149260,0.0,1.0
GOOGL,2020-08-26 00:00:00+00:00,1644.13,1652.79,1600.9754,1606.3,2609363,82.2065,82.6395,80.04877,80.315,52187260,0.0,1.0
GOOGL,2020-08-27 00:00:00+00:00,1628.52,1647.99,1618.8137,1646.61,1567503,81.426,82.3995,80.940685,82.3305,31350060,0.0,1.0
GOOGL,2020-08-28 00:00:00+00:00,1639.43,1641.35,1625.605,1629.47,1121195,81.9715,82.0675,81.28025,81.4735,22423900,0.0,1.0
GOOGL,2020-08-31 00:00:00+00:00,1629.53,1644.5,1625.33,1643.57,1321097,81.4765,82.225,81.2665,82.1785,26421940,0.0,1.0
GOOGL,2020-09-01 00:00:00+00:00,1655.08,1659.22,1629.53,1632.16,1133766,82.754,82.961,81.4765,81.608,22675320,0.0,1.0
GOOGL,2020-09-02 00:00:00+00:00,1717.39,1726.1022,1660.19,1668.01,2476072,85.8695,86.30511,83.0095,83.4005,49521440,0.0,1.0
GOOGL,2020-09-03 00:00:00+00:00,1629.51,1700.0,1607.71,1699.52,3186287,81.4755,85.0,80.3855,84.976,63725740,0.0,1.0
GOOGL,2020-09-04 00:00:00+00:00,1581.21,1634.99,1537.9701,1609.0,2792533,79.0605,81.7495,76.898505,80.45,55850660,0.0,1.0
GOOGL,2020-09-08 00:00:00+00:00,1523.6,1555.55,1516.5,1525.0,2701586,76.18,77.7775,75.825,76.25,54031720,0.0,1.0
GOOGL,2020-09-09 00:00:00+00:00,1547.23,1558.72,1525.17,1548.9,1962078,77.3615,77.936,76.2585,77.445,39241560,0.0,1.0
GOOGL,2020-09-10 00:00:00+00:00,1526.05,1573.66,1520.0,1550.18,1651194,76.3025,78.683,76.0,77.509,33023880,0.0,1.0
GOOGL,2020-09-11 00:00:00+00:00,1515.76,1538.695,1493.02,1528.15,1535337,75.788,76.93475,74.651,76.4075,30706740,0.0,1.0
GOOGL,2020-09-14 00:00:00+00:00,1508.83,1557.0,1505.11,1531.6471,2133007,75.4415,77.85,75.2555,76.582355,42660140,0.0,1.0
GOOGL,2020-09-15 00:00:00+00:00,1535.12,1550.99,1522.1,1527.89,1152055,76.756,77.5495,76.105,76.3945,23041100,0.0,1.0
GOOGL,2020-09-16 00:00:00+00:00,1512.09,1554.37,1511.59,1542.48,1107169,75.6045,77.7185,75.5795,77.124,22143380,0.0,1.0
GOOGL,2020-09-17 00:00:00+00:00,1487.04,1498.66,1462.46,1485.81,2000356,74.352,74.933,73.123,74.2905,40007120,0.0,1.0
GOOGL,2020-09-18 00:00:00+00:00,1451.09,1495.2,1431.62,1488.3,3152788,72.5545,74.76,71.581,74.415,63055760,0.0,1.0
GOOGL,2020-09-21 00:00:00+00:00,1430.14,1440.06,1402.68,1431.62,2845405,71.507,72.003,70.134,71.581,56908100,0.0,1.0
GOOGL,2020-09-22 00:00:00+00:00,1459.82,1463.97,1429.495,1450.32,1697542,72.991,73.1985,71.47475,72.516,33950840,0.0,1.0
GOOGL,2020-09-23 00:00:00+00:00,1409.39,1453.08,1402.68,1452.09,1886299,70.4695,72.654,70.134,72.6045,37725980,0.0,1.0
GOOGL,2020-09-24 00:00:00+00:00,1422.86,1437.99,1402.15,1402.68,1727611,71.143,71.8995,70.1075,70.134,34552220,0.0,1.0
